journal,invariant_method,removal_of_reference_intensity,top_five_method,invariant_top_five_method
Quarterly Journal of Economics,1,1,1,1
American Economic Review,2,2,4,2
Econometrica,3,5,3,4
Review of Economic Studies,4,4,5,5
Journal of Political Economy,5,3,2,3
American Economic Journal: Applied Economics,6,6,7,6
American Economic Journal: Macroeconomics,7,7,6,7
American Economic Journal: Economic Policy,8,9,10,9
Journal of Labor Economics,9,10,12,11
American Economic Review: Insights,10,8,8,8
Journal of The European Economic Association,11,11,11,12
Review of Economics and Statistics,12,12,14,14
Theoretical Economics,13,14,9,10
Journal of Human Resources,14,15,18,18
Journal of Monetary Economics,15,13,16,16
American Economic Journal: Microeconomics,16,16,13,13
Quantitative Economics,17,17,15,15
Economic Journal,18,18,22,21
Journal of Economic Growth,19,19,21,22
RAND Journal of Economics,20,20,17,17
Journal of Business & Economic Statistics,21,24,27,28
Review of Economic Dynamics,22,21,19,20
Journal of International Economics,23,22,23,23
Journal of Public Economics,24,23,25,25
Journal of Economic Theory,25,25,20,19
International Economic Review,26,26,24,24
Journal of Econometrics,27,29,29,27
Journal of Applied Econometrics,28,32,46,46
Journal of Development Economics,29,27,26,26
Econometric Theory,30,41,42,42
Experimental Economics,31,30,36,35
Econometrics Journal,32,43,38,43
IMF Economic Review,33,28,28,29
Journal of the Association of Environmental and Resource Economists,34,31,39,48
Games and Economic Behavior,35,34,30,30
European Economic Review,36,33,43,37
Journal of Urban Economics,37,35,41,40
Journal of Money Credit and Banking,38,39,52,51
Journal of Health Economics,39,38,53,45
Economic Theory,40,48,49,49
Journal of Economic History,41,36,32,31
Journal of Law & Economics,42,37,33,32
Journal of Policy Analysis and Management,43,40,51,55
Journal of Industrial Economics,44,45,35,34
Journal of Risk and Uncertainty,45,50,48,52
Economica,46,42,45,38
Economic Development and Cultural Change,47,44,44,44
Journal of Financial Econometrics,48,65,69,62
Scandinavian Journal of Economics,49,51,73,67
Journal of Law Economics & Organization,50,47,40,39
Journal of Environmental Economics and Management,51,53,66,64
Explorations in Economic History,52,49,37,33
Education Finance and Policy,53,52,61,65
World Bank Economic Review,54,46,55,53
Labour Economics,55,54,57,56
International Journal of Industrial Organization,56,56,54,54
Econometric Reviews,57,69,91,80
Journal of the Economic Science Association,58,55,47,50
Journal of Population Economics,59,58,103,105
Journal of Economic Dynamics & Control,60,57,74,71
Journal of Economic Behavior & Organization,61,60,70,69
Economics of Education Review,62,59,97,96
Economic Inquiry,63,63,80,82
Oxford Bulletin of Economics and Statistics,64,66,87,83
Canadian Journal of Economics,65,62,75,72
Journal of Economics & Management Strategy,66,67,84,81
American Journal of Health Economics,67,64,50,47
Journal of Economic Surveys,68,70,126,126
National Tax Journal,69,61,59,58
Journal of Mathematical Economics,70,73,86,89
Quantitative Marketing and Economics,71,72,34,36
Journal of Human Capital,72,68,68,66
International Journal of Game Theory,73,81,94,95
Social Choice and Welfare,74,88,117,112
American Law and Economics Review,75,71,31,41
Macroeconomic Dynamics,76,74,107,108
European Review of Economic History,77,83,71,78
Regional Science and Urban Economics,78,77,109,109
Theory and Decision,79,84,96,88
Oxford Economic Papers: New Series,80,78,120,117
International Tax and Public Finance,81,75,111,116
Economic History Review,82,76,90,86
Review of Income and Wealth,83,80,100,101
Journal of Economic Psychology,84,86,110,110
Journal of Comparative Economics,85,79,92,85
Journal of Economic Inequality,86,82,62,70
Review of Economic Design,87,99,60,59
Southern Economic Journal,88,87,105,99
Health Economics,89,85,123,124
Economics Letters,90,90,124,119
Journal of Public Economic Theory,91,91,104,106
Mathematical Social Sciences,92,104,114,111
Fiscal Studies,93,89,83,87
American Journal of Agricultural Economics,94,95,113,113
European Journal of Political Economy,95,96,101,103
Public Choice,96,100,121,118
Journal of Productivity Analysis,97,114,N.C.,N.C.
Geneva Risk and Insurance Review,98,98,N.C.,N.C.
Cliometrica,99,94,78,74
Journal of Regional Science,100,92,82,84
