rank,journal,score
1,The Quarterly Journal of Economics,1.32
2,Journal of Political Economy,2.52
3,American Economic Review,3.19
4,Econometrica,4.5
5,The Review of Economic Studies,6.63
6,Journal of Economic Literature,8.5
7,Journal of Economic Perspectives,8.7
8,Energy Economics,8.87
9,American Economic Journal: Macroeconomics,9.79
10,Journal of Financial Economics,9.82
11,The Review of Financial Studies,10.25
12,Journal of Finance,10.57
13,Brookings Papers on Economic Activity,11.31
14,Annual Review of Economics,13.74
15,The Review of Economics and Statistics,13.86
16,Journal of Econometrics,14.52
17,Journal of Monetary Economics,14.57
18,American Economic Journal: Economic Policy,15.15
19,American Economic Journal: Applied Economics,18.56
20,Journal of the European Economic Association,18.84
21,American Economic Review: Insights,20.69
22,Journal of Public Economics,21.64
23,The Economic Journal,22.61
24,Journal of Labor Economics,24.47
25,Economic Policy,28.41
26,Journal of International Economics,29.53
27,Energy Policy,30.38
28,Journal of Economic Growth,32.08
29,Journal of Financial Intermediation,34.53
30,Journal of Development Economics,34.55
31,Empirical Economics,34.66
32,The Econometrics Journal,35.39
33,Journal of Corporate Finance,35.53
34,Finance Research Letters,37.4
35,Journal of Business & Economic Statistics,38.13
36,Journal of Human Resources,38.28
37,IMF Economic Review,39.22
38,Journal of Political Economy Macroeconomics,39.58
39,Renewable and Sustainable Energy Reviews,41.76
40,Review of Environmental Economics and Policy,42.59
41,Review of Finance,42.63
42,International Journal of Central Banking,43.53
43,Quantitative Economics,44.34
44,Journal of Environmental Economics and Management,44.37
45,European Economic Review,45.54
46,Journal of Urban Economics,45.7
47,Review of Economic Dynamics,45.81
48,Technological Forecasting and Social Change,46.82
49,Journal of International Business Studies,47.78
50,The World Bank Research Observer,47.79
51,BIS Quarterly Review,48.95
52,Journal of Financial Stability,50.67
53,Journal of Business Research,50.9
54,Journal of Applied Econometrics,51.95
55,Management Science,52.55
56,Research Policy,52.61
57,"Journal of Money, Credit and Banking",54.23
58,International Review of Financial Analysis,54.91
59,Strategic Management Journal,55.2
60,The Review of Corporate Finance Studies,55.59
61,Journal of Business Venturing,55.71
62,Journal of Financial and Quantitative Analysis,56.95
63,Journal of the Association of Environmental and Resource Economists,57.71
64,Applied Energy,58.12
65,Stata Journal,59.32
66,Journal of Economic Surveys,60.53
67,Journal of Banking & Finance,62.84
68,Annual Review of Financial Economics,64
69,Journal of Accounting and Economics,64.78
70,RAND Journal of Economics,66.26
71,Journal of International Money and Finance,67.39
72,Renewable Energy,68.72
73,World Development,68.76
74,Labour Economics,69.1
75,Experimental Economics,69.34
76,Annual Review of Resource Economics,70.65
77,International Economic Review,71.49
78,AEA Papers and Proceedings,72.55
79,Journal of Accounting Research,76.2
80,Nature,76.28
81,Journal of Economic Dynamics and Control,76.32
82,Journal of Business Ethics,76.44
83,Journal of Health Economics,77.26
84,Economica,80.87
85,Journal of World Business,82.2
86,Journal of Economic Geography,84.51
87,Journal of Economic Theory,85.77
88,American Journal of Political Science,86.4
89,Theoretical Economics,87.33
90,The World Bank Economic Review,88.89
91,Business Strategy and the Environment,89.83
92,Entrepreneurship Theory and Practice,90.59
93,IZA Journal of Labor Economics,91.73
94,Journal of Population Economics,91.83
95,Journal of the American Statistical Association,92.51
96,Journal of Economic Behavior & Organization,92.75
97,Energy,93.13
98,American Journal of Agricultural Economics,93.76
99,Journal of Interactive Marketing,94.89
100,Ecological Economics,95.24
101,Oxford Bulletin of Economics and Statistics,95.98
102,The Journal of Economic Inequality,96.24
103,Journal of the Academy of Marketing Science,96.57
104,Journal of Comparative Economics,97.36
105,International Journal of Forecasting,97.91
106,Nature Climate Change,99.16
107,EconStor Open Access Articles and Book Chapters,100.11
108,Economic Modelling,101.25
109,Borsa Istanbul Review,102.02
110,Economics Letters,102.36
111,"Journal of International Financial Markets, Institutions and Money",103.21
112,Small Business Economics,103.31
113,Canadian Journal of Economics,104.71
114,Oxford Review of Economic Policy,105.02
115,Contemporary Accounting Research,105.36
116,Scandinavian Journal of Economics,105.56
117,Demography,105.77
118,International Journal of Information Management,106.36
119,Political Analysis,107.34
120,European Journal of Operational Research,111.03
121,China Economic Review,112.02
122,American Economic Journal: Microeconomics,113.47
123,Resources Policy,113.98
124,Journal of Global Economic Analysis,114.12
125,International Journal of Production Economics,114.79
126,Review of Income and Wealth,115.93
127,American Journal of Health Economics,116.23
128,Nature Energy,116.61
129,International Economics,117.23
130,Review of Accounting Studies,122.1
131,ILR Review,122.35
132,Tourism Management,122.93
133,European Journal of Political Economy,124.87
134,Economic Inquiry,126.04
135,Journal of Risk and Uncertainty,126.41
136,Journal of Multinational Financial Management,127.86
137,Fiscal Studies,129.7
138,Journal of Macroeconomics,130.12
139,Journal of Statistical Software,130.43
140,Econometric Theory,130.5
141,Journal of International Business Policy,131.22
142,Nature Human Behaviour,131.97
143,Economics of Education Review,134.07
144,Food Policy,138
145,Journal of Human Capital,138.83
