slug,tier,year,journal,title,authors,doi,url
ambrus-greiner-2012-aer,A,2012,American Economic Review,Imperfect Public Monitoring with Costly Punishment: An Experimental Study,ambrus-attila; Ben Greiner,,
gierlinger-laczo-2018-ej,A,2018,Economic Journal,Matching to Share Risk without Commitment,Johannes Gierlinger; laczo-sarolta,,
greulich-laczo-marcet-2023-jpe,A,2023,Journal of Political Economy,Pareto-Improving Optimal Capital and Labor Taxes,Katharina Greulich; laczo-sarolta; Albert Marcet,,https://www.journals.uchicago.edu/doi/10.1086/722982
laczo-2015-jeea,A,2015,Journal of the European Economic Association,Risk Sharing with Limited Commitment and Preference Heterogeneity: Structural Estimation and Testing,laczo-sarolta,10.1111/jeea.12115,https://doi.org/10.1111/jeea.12115
brodeur-et-al-2026-nature,A,2026,Nature,Reproducibility and robustness of economics and political science research,Abel Brodeur; et al.; gaspar-attila,,
ambrus-chaney-salitskiy-2018-qe,A,2018,Quantitative Economics,Pirates of the Mediterranean: An Empirical Investigation of Bargaining with Asymmetric Information,ambrus-attila; Eric Chaney; Igor Salitskiy,,
ambrus-gao-milan-2022-restud,A,2022,Review of Economic Studies,Informal Risk Sharing with Local Information,ambrus-attila; Wayne Yuan Gao; Pau Milán,,
ambrus-takahashi-2008-te,A,2008,Theoretical Economics,Multi-Sender Cheap Talk with Restricted State Spaces,ambrus-attila; Satoru Takahashi,,
brown-earle-et-al-2006-ces,B,2006,Comparative Economic Studies,"Nonstandard Forms and Measures of Employment and Unemployment in Transition: A Comparative Study of Estonia, Romania, and Russia",Jason Brown; John S. Earle; Vladimir Gimpelson; Rostislav Kapeliushnikov; Hartmut Lehmann; telegdy-almos; Irina Vantu; Ruxandra Visan; Alexandru Voicu,10.1057/palgrave.ces.8100181,https://doi.org/10.1057/palgrave.ces.8100181
elekes-stojkoski-et-al-2022-eg,B,2022,Economic Geography,Technology Network Structure Conditions the Economic Resilience of Regions,elekes-zoltan,,
vonyo-2014-ehr,B,2014,Economic History Review,"DavidGreasley and LesOxley, eds., Economics and history: surveys in cliometrics (Oxford, Wiley‐Blackwell, 2012. Pp. 304. ISBN 9781444337808 Pbk. £19.99)",vonyo-tamas,10.1111/1468-0289.12076_35,https://doi.org/10.1111/1468-0289.12076_35
gillman-csabafi-et-al-2025-ecmod,B,2025,Economic Modelling,Revisiting neoclassical growth theory: A primary role for inflation and capacity utilization,Max Gillman; Tamas Csabafi; benk-szilard; László Mátyás; Mitchell P. Smith; Mark N. Harris,10.1016/j.econmod.2025.107358,https://doi.org/10.1016/j.econmod.2025.107358
luintel-matthews-et-al-2020-em,B,2020,Economic Modelling,The role of Provincial Government Spending Composition in growth and convergence in China,Kul B. Luintel; Kent Matthews; Lucy Minford; valentinyi-akos; Baoshun Wang,10.1016/j.econmod.2020.04.024,https://doi.org/10.1016/j.econmod.2020.04.024
bekes-murakozy-et-al-2011-es,B,2011,Economic Systems,Firms and products in international trade: Evidence from Hungary,bekes-gabor; murakozy-balazs; harasztosi-peter,10.1016/j.ecosys.2010.11.005,https://doi.org/10.1016/j.ecosys.2010.11.005
segal-halevi-sziklai-2018-ecth,B,2018,Economic Theory,Monotonicity and competitive equilibrium in cake-cutting,Erel Segal-Halevi; sziklai-balazs,10.1007/s00199-018-1128-6,https://doi.org/10.1007/s00199-018-1128-6
koczy-nichifor-2012-ecth,B,2012,Economic Theory,The intellectual influence of economic journals: quality versus quantity,koczy-laszlo; Alexandru Nichifor,10.1007/s00199-012-0708-0,https://doi.org/10.1007/s00199-012-0708-0
virag-2011-ecth,B,2011,Economic Theory,First-price auctions with resale: the case of many bidders,virag-gabor,10.1007/s00199-011-0666-y,https://doi.org/10.1007/s00199-011-0666-y
koszegi-2009-ecth,B,2009,Economic Theory,Utility from anticipation and personal equilibrium,koszegi-botond,10.1007/s00199-009-0465-x,https://doi.org/10.1007/s00199-009-0465-x
telegdy-2023-el,B,2023,Economics Letters,The effects of enterprise relief grants during COVID-19,telegdy-almos,10.1016/j.econlet.2023.111482,https://doi.org/10.1016/j.econlet.2023.111482
sapriza-temesvary-2020-eclett,B,2020,Economics Letters,Asymmetries in the bank lending channel of monetary policy in the United States,Horacio Sapriza; temesvary-judit,10.1016/j.econlet.2020.109050,https://doi.org/10.1016/j.econlet.2020.109050
szabo-ujhelyi-2017-el,B,2017,Economics Letters,Choice and happiness in South Africa,Andrea Szabó; ujhelyi-gergely,10.1016/j.econlet.2017.02.002,https://doi.org/10.1016/j.econlet.2017.02.002
bekes-murakozy-2015-el,B,2015,Economics Letters,Measuring productivity premia with many modes of internationalization,bekes-gabor; murakozy-balazs,10.1016/j.econlet.2015.12.016,https://doi.org/10.1016/j.econlet.2015.12.016
darvas-2015-eclett,B,2015,Economics Letters,Does money matter in the euro area? Evidence from a new Divisia index,darvas-zsolt,10.1016/j.econlet.2015.05.034,https://doi.org/10.1016/j.econlet.2015.05.034
bako-kalecz-simon-2013-eclett,B,2013,Economics Letters,Quota bonuses with heterogeneous agents,bako-barna; András Kálecz‐Simon,10.1016/j.econlet.2013.03.008,https://doi.org/10.1016/j.econlet.2013.03.008
chung-eso-2013-el,B,2013,Economics Letters,Persuasion and learning by countersignaling,Kim‐Sau Chung; eso-peter,10.1016/j.econlet.2013.10.002,https://doi.org/10.1016/j.econlet.2013.10.002
